channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,baseline,effect,AVK,AVJ,0.03936767578125,0.1009995341300964,3,24
endpoint_mean,baseline,effect,AVK,SMB,0.04022216796875,0.0957049950957298,1,24
endpoint_mean,baseline,effect,URB,ADF,0.0424041748046875,0.0878590196371078,1,24
endpoint_mean,baseline,effect,ADF,RMD,0.0426483154296875,0.1117551922798156,2,24
endpoint_mean,baseline,effect,AVK,ADE,0.0429229736328125,0.0638223439455032,1,24
endpoint_mean,baseline,effect,ADL,BAG,0.043212890625,0.1800095736980438,1,24
endpoint_mean,baseline,effect,OLL,AFD,0.0452117919921875,0.1560238897800445,1,24
endpoint_mean,baseline,effect,SIA,FLP,0.0464324951171875,0.0909522101283073,1,24
endpoint_mean,baseline,effect,RMF,AUA,0.0466156005859375,0.1323039084672927,1,24
endpoint_mean,baseline,effect,ASG,BAG,0.0467071533203125,0.1476853042840957,1,24
endpoint_mean,baseline,effect,RIA,OLQ,0.0480194091796875,0.099546305835247,1,24
endpoint_mean,baseline,effect,RIC,SAA,0.048431396484375,0.1163635551929473,1,24
endpoint_mean,baseline,effect,AVK,SMD,0.048492431640625,0.1158768013119697,2,24
endpoint_mean,baseline,effect,RID,SAA,0.0496978759765625,0.1197491660714149,1,24
endpoint_mean,baseline,effect,RIP,SIA,0.0501251220703125,0.0764825642108917,0,24
endpoint_mean,baseline,effect,AVK,SIB,0.0513153076171875,0.0913035944104194,0,24
endpoint_mean,baseline,effect,AVJ,RIV,0.0515594482421875,0.1044211983680725,0,24
endpoint_mean,baseline,effect,AVK,AIM,0.052734375,0.0874663367867469,0,24
endpoint_mean,baseline,effect,IL2,AIZ,0.0532684326171875,0.0810213088989257,0,24
endpoint_mean,baseline,effect,ASJ,AWB,0.0585174560546875,0.1166895925998687,0,24
endpoint_mean,baseline,effect,URB,URY,0.0587921142578125,0.1154673844575882,0,24
endpoint_mean,baseline,effect,AVD,RID,0.05889892578125,0.1541821956634521,0,24
endpoint_mean,baseline,effect,CEP,RME,0.0627288818359375,0.094462439417839,0,24
endpoint_mean,baseline,effect,SIA,ASK,0.0649566650390625,0.1275650858879089,0,24
endpoint_mean,baseline,effect,ASJ,AVD,0.0653228759765625,0.1188464164733886,0,24
endpoint_mean,baseline,effect,AIM,URA,0.06597900390625,0.0617194510996341,0,24
endpoint_mean,baseline,effect,ASG,OLL,0.0668182373046875,0.1474077254533767,0,24
endpoint_mean,baseline,effect,ALA,RID,0.0679931640625,0.1081180348992347,0,24
endpoint_mean,baseline,effect,CEP,RID,0.070159912109375,0.1084828749299049,0,24
endpoint_mean,baseline,effect,RID,AIZ,0.0732421875,0.0829317271709442,0,24
endpoint_mean,baseline,effect,ADF,RIH,0.076019287109375,0.1090804487466812,0,24
endpoint_mean,baseline,effect,SMB,SMD,0.0764007568359375,0.1307390034198761,0,24
endpoint_mean,baseline,effect,ADL,RMH,0.0785675048828125,0.2101276516914367,0,24
endpoint_mean,baseline,effect,RIP,AVK,0.08154296875,0.1142737790942192,0,24
endpoint_mean,baseline,effect,ADF,RIA,0.0820465087890625,0.1431682705879211,0,24
endpoint_mean,baseline,effect,AVD,ASE,0.08453369140625,0.1189747154712677,0,24
endpoint_mean,baseline,effect,IL1,URY,0.0852203369140625,0.1200294196605682,0,24
endpoint_mean,baseline,effect,URX,ASK,0.089447021484375,0.0770216435194015,0,24
endpoint_mean,baseline,effect,URX,IL1,0.090850830078125,0.0655821040272712,0,24
endpoint_mean,baseline,effect,ADF,RMH,0.0927581787109375,0.062160737812519,0,24
endpoint_mean,baseline,effect,CEP,OLL,0.0927886962890625,0.0889305472373962,0,24
endpoint_mean,baseline,effect,RIH,AIZ,0.0935821533203125,0.1203843280673027,0,24
endpoint_mean,baseline,effect,SMB,RIB,0.0936126708984375,0.1106611788272857,0,24
endpoint_mean,baseline,effect,AIZ,ASG,0.0997467041015625,0.0880696028470993,0,24
endpoint_mean,baseline,effect,AUA,SMB,0.1004791259765625,0.1077713668346405,0,24
endpoint_mean,baseline,effect,RMH,AIZ,0.103118896484375,0.1254137307405471,0,24
endpoint_mean,baseline,effect,AIY,RIP,0.1042938232421875,0.0776993185281753,0,24
endpoint_mean,baseline,effect,RIC,URX,0.1044464111328125,0.0705326199531555,0,24
endpoint_mean,baseline,effect,ASK,AVK,0.1070404052734375,0.1755515336990356,0,24
endpoint_mean,baseline,effect,SIA,RIC,0.1074066162109375,0.1015940904617309,0,24
endpoint_mean,baseline,effect,ASK,URY,0.1119537353515625,0.140727162361145,0,24
endpoint_mean,baseline,effect,RIC,RMD,0.116058349609375,0.0854777470231056,0,24
