source,target,lag,horizon,recording,effect
URA,OLQ,8,8,OH16230:0929_07,0.22572334110736847
URA,OLQ,8,16,OH16230:0929_07,0.24776844680309296
URA,OLQ,8,32,OH16230:0929_07,0.2689288258552551
URA,OLQ,8,1,OH16230:1030_03,0.19674864411354065
URA,OLQ,8,2,OH16230:1030_03,0.19821923971176147
URA,OLQ,8,4,OH16230:1030_03,0.19989261031150818
URA,OLQ,8,8,OH16230:1030_03,0.20331189036369324
URA,OLQ,8,16,OH16230:1030_03,0.187495619058609
URA,OLQ,8,32,OH16230:1030_03,0.15803873538970947
URA,OLQ,8,1,OH16230:1104_08,0.31007134914398193
URA,OLQ,8,2,OH16230:1104_08,0.30737215280532837
URA,OLQ,8,4,OH16230:1104_08,0.3027723431587219
URA,OLQ,8,8,OH16230:1104_08,0.29053357243537903
URA,OLQ,8,16,OH16230:1104_08,0.2577713429927826
URA,OLQ,8,32,OH16230:1104_08,0.20524650812149048
URA,OLQ,16,1,OH16230:0924_01,0.2208215892314911
URA,OLQ,16,2,OH16230:0924_01,0.2180701643228531
URA,OLQ,16,4,OH16230:0924_01,0.21390214562416077
URA,OLQ,16,8,OH16230:0924_01,0.2041105329990387
URA,OLQ,16,16,OH16230:0924_01,0.18934501707553864
URA,OLQ,16,32,OH16230:0924_01,0.12730218470096588
URA,OLQ,16,1,OH16230:0924_03,0.2725483477115631
URA,OLQ,16,2,OH16230:0924_03,0.2693120837211609
URA,OLQ,16,4,OH16230:0924_03,0.2645353078842163
URA,OLQ,16,8,OH16230:0924_03,0.25465211272239685
URA,OLQ,16,16,OH16230:0924_03,0.24632221460342407
URA,OLQ,16,32,OH16230:0924_03,0.19389700889587402
URA,OLQ,16,1,OH16230:0925_01,0.25810548663139343
URA,OLQ,16,2,OH16230:0925_01,0.25748899579048157
URA,OLQ,16,4,OH16230:0925_01,0.254879355430603
URA,OLQ,16,8,OH16230:0925_01,0.25149792432785034
URA,OLQ,16,16,OH16230:0925_01,0.24095451831817627
URA,OLQ,16,32,OH16230:0925_01,0.2273525595664978
URA,OLQ,16,1,OH16230:0925_04,0.2433384358882904
URA,OLQ,16,2,OH16230:0925_04,0.2385193258523941
URA,OLQ,16,4,OH16230:0925_04,0.22936376929283142
URA,OLQ,16,8,OH16230:0925_04,0.2144397795200348
URA,OLQ,16,16,OH16230:0925_04,0.1783435195684433
URA,OLQ,16,32,OH16230:0925_04,0.11264196038246155
URA,OLQ,16,1,OH16230:0928_01,0.17932620644569397
URA,OLQ,16,2,OH16230:0928_01,0.17595893144607544
URA,OLQ,16,4,OH16230:0928_01,0.16685894131660461
URA,OLQ,16,8,OH16230:0928_01,0.1566912978887558
URA,OLQ,16,16,OH16230:0928_01,0.14438492059707642
URA,OLQ,16,32,OH16230:0928_01,0.1102793887257576
URA,OLQ,16,1,OH16230:0928_03,0.17489030957221985
URA,OLQ,16,2,OH16230:0928_03,0.168105810880661
URA,OLQ,16,4,OH16230:0928_03,0.15490618348121643
URA,OLQ,16,8,OH16230:0928_03,0.12665358185768127
URA,OLQ,16,16,OH16230:0928_03,0.08064985275268555
URA,OLQ,16,32,OH16230:0928_03,0.02244761772453785
URA,OLQ,16,1,OH16230:0928_05,0.34827351570129395
URA,OLQ,16,2,OH16230:0928_05,0.3487813472747803
URA,OLQ,16,4,OH16230:0928_05,0.3485168516635895
URA,OLQ,16,8,OH16230:0928_05,0.34135401248931885
URA,OLQ,16,16,OH16230:0928_05,0.3242229223251343
URA,OLQ,16,32,OH16230:0928_05,0.27561208605766296
URA,OLQ,16,1,OH16230:0928_07,0.18652810156345367
URA,OLQ,16,2,OH16230:0928_07,0.18267503380775452
URA,OLQ,16,4,OH16230:0928_07,0.1705130785703659
URA,OLQ,16,8,OH16230:0928_07,0.15036803483963013
URA,OLQ,16,16,OH16230:0928_07,0.11215800046920776
URA,OLQ,16,32,OH16230:0928_07,0.056996043771505356
URA,OLQ,16,1,OH16230:0928_08,0.2374403178691864
URA,OLQ,16,2,OH16230:0928_08,0.23623676598072052
URA,OLQ,16,4,OH16230:0928_08,0.23380020260810852
URA,OLQ,16,8,OH16230:0928_08,0.2285035252571106
URA,OLQ,16,16,OH16230:0928_08,0.20939317345619202
URA,OLQ,16,32,OH16230:0928_08,0.14162887632846832
URA,OLQ,16,1,OH16230:0928_11,0.3210084140300751
URA,OLQ,16,2,OH16230:0928_11,0.3149365782737732
URA,OLQ,16,4,OH16230:0928_11,0.3038977384567261
URA,OLQ,16,8,OH16230:0928_11,0.2920031249523163
URA,OLQ,16,16,OH16230:0928_11,0.2649610936641693
URA,OLQ,16,32,OH16230:0928_11,0.20064042508602142
URA,OLQ,16,1,OH16230:0928_13,0.07085006684064865
URA,OLQ,16,2,OH16230:0928_13,0.069115549325943
URA,OLQ,16,4,OH16230:0928_13,0.06906849145889282
URA,OLQ,16,8,OH16230:0928_13,0.07004464417695999
URA,OLQ,16,16,OH16230:0928_13,0.07796573638916016
URA,OLQ,16,32,OH16230:0928_13,0.0841452032327652
URA,OLQ,16,1,OH16230:0929_03,0.2812410593032837
URA,OLQ,16,2,OH16230:0929_03,0.2791263461112976
URA,OLQ,16,4,OH16230:0929_03,0.2723957598209381
URA,OLQ,16,8,OH16230:0929_03,0.25514572858810425
URA,OLQ,16,16,OH16230:0929_03,0.20961429178714752
URA,OLQ,16,32,OH16230:0929_03,0.11725670099258423
URA,OLQ,16,1,OH16230:0929_05,0.02081017568707466
URA,OLQ,16,2,OH16230:0929_05,0.019129730761051178
URA,OLQ,16,4,OH16230:0929_05,0.01027032732963562
URA,OLQ,16,8,OH16230:0929_05,-0.0033788643777370453
URA,OLQ,16,16,OH16230:0929_05,-0.024756204336881638
URA,OLQ,16,32,OH16230:0929_05,-0.008733063004910946
URA,OLQ,16,1,OH16230:0929_06,0.0575406439602375
URA,OLQ,16,2,OH16230:0929_06,0.050741735845804214
URA,OLQ,16,4,OH16230:0929_06,0.037247441709041595
URA,OLQ,16,8,OH16230:0929_06,0.019014064222574234
URA,OLQ,16,16,OH16230:0929_06,-0.019147267565131187
URA,OLQ,16,32,OH16230:0929_06,-0.07484453916549683
URA,OLQ,16,1,OH16230:0929_07,0.28813445568084717
URA,OLQ,16,2,OH16230:0929_07,0.2885553538799286
URA,OLQ,16,4,OH16230:0929_07,0.2846543788909912
URA,OLQ,16,8,OH16230:0929_07,0.27629610896110535
URA,OLQ,16,16,OH16230:0929_07,0.2557326555252075
URA,OLQ,16,32,OH16230:0929_07,0.20536701381206512
URA,OLQ,16,1,OH16230:1030_03,0.16767175495624542
URA,OLQ,16,2,OH16230:1030_03,0.16181106865406036
URA,OLQ,16,4,OH16230:1030_03,0.1475895345211029
URA,OLQ,16,8,OH16230:1030_03,0.12505801022052765
URA,OLQ,16,16,OH16230:1030_03,0.09407532960176468
URA,OLQ,16,32,OH16230:1030_03,0.02652781829237938
URA,OLQ,16,1,OH16230:1104_08,0.31408581137657166
URA,OLQ,16,2,OH16230:1104_08,0.31035909056663513
URA,OLQ,16,4,OH16230:1104_08,0.30324554443359375
URA,OLQ,16,8,OH16230:1104_08,0.28980734944343567
URA,OLQ,16,16,OH16230:1104_08,0.2583634853363037
URA,OLQ,16,32,OH16230:1104_08,0.20622870326042175
URB,RIP,1,1,OH16230:0924_01,0.24650973081588745
URB,RIP,1,2,OH16230:0924_01,0.24144388735294342
URB,RIP,1,4,OH16230:0924_01,0.21825511753559113
URB,RIP,1,8,OH16230:0924_01,0.2523159384727478
URB,RIP,1,16,OH16230:0924_01,0.23442882299423218
URB,RIP,1,32,OH16230:0924_01,0.165225088596344
URB,RIP,1,1,OH16230:0924_03,0.2231687605381012
URB,RIP,1,2,OH16230:0924_03,0.21160414814949036
URB,RIP,1,4,OH16230:0924_03,0.2013305127620697
URB,RIP,1,8,OH16230:0924_03,0.21036669611930847
URB,RIP,1,16,OH16230:0924_03,0.2026950567960739
URB,RIP,1,32,OH16230:0924_03,0.15101942420005798
URB,RIP,1,1,OH16230:0925_01,0.17273589968681335
URB,RIP,1,2,OH16230:0925_01,0.16795024275779724
URB,RIP,1,4,OH16230:0925_01,0.1589910089969635
URB,RIP,1,8,OH16230:0925_01,0.18110135197639465
