case_id,data_seed,energy_score_fair_exact,generator_id,generator_seed,model_seed,rejection_acceptance_rate,rejection_accepted_samples,rejection_attempts_per_slot_per_round,rejection_effective_proposals,rejection_generated_proposals,rejection_max_generated_proposals_in_one_batch,rejection_max_proposals_for_one_sample,rejection_proposal_batch_size_cap,rejection_rounds,rejection_seed,rejection_theoretical_acceptance_lower_bound,samples_per_second_exact,status,wall_seconds,g8_minus_acceptance,g8_plus_acceptance,g8_quartic_nrmse,g8_quartic_slope
00a6a08e161c7ddd204f,607,1.188663334929377,g5_near_manifold,61,6007,0.13963636363636364,6144,6,44000,62118,4092,66,4096,11,46616,0.1353352832366127,156934.70153312112,ok,0.06262229199637659,,,,
02c31b22712061dd35a4,607,1.4710751031284586,g2_covariance,67,6007,0.37783654141811696,6144,6,16261,39210,4092,23,4096,4,46616,0.1353352832366127,394870.2347939307,ok,0.02437829101108946,,,,
04d2611e5328ba577dca,607,2.728438435902308,g7_concentrated_history,67,6007,0.31591937474290416,6144,6,19448,41226,4092,24,4096,4,46616,0.1353352832366127,364610.14652859175,ok,0.02473866697982885,,,,
112a2be8905e7da50975,601,1.5469342672362751,g2_covariance,61,6007,0.35217241774618824,6144,6,17446,39690,4092,27,4096,5,46610,0.1353352832366127,353374.2465907979,ok,0.025697957986267284,,,,
1556f7310de133362cd3,601,0.7175316825874024,g8_functional_shape,61,6001,0.1365758235895612,6144,6,44986,63156,4092,55,4096,10,46604,0.1353352832366127,164849.79511539597,ok,0.2776581670041196,0.13822427698849257,0.1366882466795702,0.9994554130063547,0.0005457791099403596
1a4497bacb28e61a6d17,601,2.8297287764016796,g7_concentrated_history,61,6001,0.2773314074207818,6144,6,22154,43104,4092,32,4096,6,46604,0.1353352832366127,349146.2963246534,ok,0.02553566699498333,,,,
20349ede295afd51e0fb,601,2.580173104367237,g7_concentrated_history,67,6001,0.3321081081081081,6144,6,18500,40440,4092,24,4096,4,46604,0.1353352832366127,353564.03679759725,ok,0.025135459000011906,,,,
32b35904a805bc397953,601,2.5618824718558777,g7_concentrated_history,67,6007,0.30498883097542817,6144,6,20145,41694,4092,26,4096,5,46610,0.1353352832366127,357301.91012564127,ok,0.02451341602136381,,,,
3bc1c4c29c99e296b28c,607,2.3476964819753774,g6_rough_history,61,6007,0.3677060266922018,6144,6,16709,39450,4092,21,4096,4,46616,0.1353352832366127,350339.99041366647,ok,0.02718208299484104,,,,
3bf882e31a127b72fb4b,601,1.537383944914408,g2_covariance,67,6001,0.3688982287601321,6144,6,16655,39354,4092,22,4096,4,46604,0.1353352832366127,362760.55168190564,ok,0.026326040999265388,,,,
46a49d909b1cb9d157a5,607,1.7529243216755106,g3_matched_skew,61,6001,0.457449184721912,6144,6,13431,37758,4092,18,4096,3,46610,0.1353352832366127,437313.5201528049,ok,0.02178095799172297,,,,
490b0d58de3ec0c8190d,607,1.4607553084879552,g2_covariance,61,6001,0.36205067766647026,6144,6,16970,39426,4092,17,4096,3,46610,0.1353352832366127,366093.8247828148,ok,0.025439874996664003,,,,
4b25c4da3ae62e2a94c9,607,1.4911143880507385,g1_gaussian_sanity,61,6007,0.35522664199814985,6144,6,17296,39846,4092,24,4096,4,46616,0.1353352832366127,382019.27784095245,ok,0.025111166993156075,,,,
