source,target,lag,horizon,recording,effect
DVA,DVB,8,32,SBTG:0928_11,0.4071391522884369
DVA,DVB,8,1,SBTG:0928_13,0.6439965963363647
DVA,DVB,8,2,SBTG:0928_13,0.6261856555938721
DVA,DVB,8,4,SBTG:0928_13,0.593847930431366
DVA,DVB,8,8,SBTG:0928_13,0.5300426483154297
DVA,DVB,8,16,SBTG:0928_13,0.42845556139945984
DVA,DVB,8,32,SBTG:0928_13,0.26850923895835876
DVA,DVB,8,1,SBTG:0929_02,0.6081088781356812
DVA,DVB,8,2,SBTG:0929_02,0.5961385369300842
DVA,DVB,8,4,SBTG:0929_02,0.5702446699142456
DVA,DVB,8,8,SBTG:0929_02,0.5253869891166687
DVA,DVB,8,16,SBTG:0929_02,0.4265172481536865
DVA,DVB,8,32,SBTG:0929_02,0.2757110595703125
DVA,DVB,8,1,SBTG:0929_03,0.6795570254325867
DVA,DVB,8,2,SBTG:0929_03,0.6645004749298096
DVA,DVB,8,4,SBTG:0929_03,0.6362289190292358
DVA,DVB,8,8,SBTG:0929_03,0.5930724740028381
DVA,DVB,8,16,SBTG:0929_03,0.49185752868652344
DVA,DVB,8,32,SBTG:0929_03,0.32434213161468506
DVA,DVB,8,1,SBTG:0929_05,0.7062085866928101
DVA,DVB,8,2,SBTG:0929_05,0.6878140568733215
DVA,DVB,8,4,SBTG:0929_05,0.6508309245109558
DVA,DVB,8,8,SBTG:0929_05,0.5866257548332214
DVA,DVB,8,16,SBTG:0929_05,0.47388094663619995
DVA,DVB,8,32,SBTG:0929_05,0.2964324355125427
DVA,DVB,8,1,SBTG:0929_06,0.71893310546875
DVA,DVB,8,2,SBTG:0929_06,0.7006967067718506
DVA,DVB,8,4,SBTG:0929_06,0.665815532207489
DVA,DVB,8,8,SBTG:0929_06,0.5920637249946594
DVA,DVB,8,16,SBTG:0929_06,0.47378677129745483
DVA,DVB,8,32,SBTG:0929_06,0.27630555629730225
DVA,DVB,8,1,SBTG:0929_07,0.7554574608802795
DVA,DVB,8,2,SBTG:0929_07,0.7333565950393677
DVA,DVB,8,4,SBTG:0929_07,0.7020376324653625
DVA,DVB,8,8,SBTG:0929_07,0.6244585514068604
DVA,DVB,8,16,SBTG:0929_07,0.5116053819656372
DVA,DVB,8,32,SBTG:0929_07,0.3265950083732605
DVA,DVB,8,1,SBTG:1030_03,0.6940866708755493
DVA,DVB,8,2,SBTG:1030_03,0.6788464188575745
DVA,DVB,8,4,SBTG:1030_03,0.6566720008850098
DVA,DVB,8,8,SBTG:1030_03,0.6135349869728088
DVA,DVB,8,16,SBTG:1030_03,0.5338027477264404
DVA,DVB,8,32,SBTG:1030_03,0.39276301860809326
DVA,DVB,8,1,SBTG:1104_08,0.6300998330116272
DVA,DVB,8,2,SBTG:1104_08,0.6178632974624634
DVA,DVB,8,4,SBTG:1104_08,0.5982785224914551
DVA,DVB,8,8,SBTG:1104_08,0.5504130721092224
DVA,DVB,8,16,SBTG:1104_08,0.4563828110694885
DVA,DVB,8,32,SBTG:1104_08,0.268825888633728
DVA,DVB,8,1,SBTG:1104_10,0.5880028009414673
DVA,DVB,8,2,SBTG:1104_10,0.5787753462791443
DVA,DVB,8,4,SBTG:1104_10,0.5627741813659668
DVA,DVB,8,8,SBTG:1104_10,0.5296810269355774
DVA,DVB,8,16,SBTG:1104_10,0.46503376960754395
DVA,DVB,8,32,SBTG:1104_10,0.33572137355804443
DVA,DVB,16,1,SBTG:0924_01,0.5222617983818054
DVA,DVB,16,2,SBTG:0924_01,0.5063929557800293
DVA,DVB,16,4,SBTG:0924_01,0.47459089756011963
DVA,DVB,16,8,SBTG:0924_01,0.41613465547561646
DVA,DVB,16,16,SBTG:0924_01,0.31229931116104126
DVA,DVB,16,32,SBTG:0924_01,0.13771235942840576
DVA,DVB,16,1,SBTG:0924_02,0.5383346676826477
DVA,DVB,16,2,SBTG:0924_02,0.5242234468460083
DVA,DVB,16,4,SBTG:0924_02,0.502610981464386
DVA,DVB,16,8,SBTG:0924_02,0.4661601781845093
DVA,DVB,16,16,SBTG:0924_02,0.3890210688114166
DVA,DVB,16,32,SBTG:0924_02,0.2538966238498688
DVA,DVB,16,1,SBTG:0924_03,0.7998144030570984
DVA,DVB,16,2,SBTG:0924_03,0.787032961845398
DVA,DVB,16,4,SBTG:0924_03,0.7667232751846313
DVA,DVB,16,8,SBTG:0924_03,0.7314339280128479
DVA,DVB,16,16,SBTG:0924_03,0.6565228700637817
DVA,DVB,16,32,SBTG:0924_03,0.5341899394989014
DVA,DVB,16,1,SBTG:0925_01,0.63071209192276
DVA,DVB,16,2,SBTG:0925_01,0.6151148080825806
DVA,DVB,16,4,SBTG:0925_01,0.5869576930999756
DVA,DVB,16,8,SBTG:0925_01,0.5339755415916443
DVA,DVB,16,16,SBTG:0925_01,0.43805795907974243
DVA,DVB,16,32,SBTG:0925_01,0.28028345108032227
DVA,DVB,16,1,SBTG:0925_04,0.597180962562561
DVA,DVB,16,2,SBTG:0925_04,0.5850568413734436
DVA,DVB,16,4,SBTG:0925_04,0.55550217628479
DVA,DVB,16,8,SBTG:0925_04,0.49022376537323
DVA,DVB,16,16,SBTG:0925_04,0.37001895904541016
DVA,DVB,16,32,SBTG:0925_04,0.1763359010219574
DVA,DVB,16,1,SBTG:0928_01,0.5999226570129395
DVA,DVB,16,2,SBTG:0928_01,0.5868176817893982
DVA,DVB,16,4,SBTG:0928_01,0.5662062764167786
DVA,DVB,16,8,SBTG:0928_01,0.512520432472229
DVA,DVB,16,16,SBTG:0928_01,0.4090278744697571
DVA,DVB,16,32,SBTG:0928_01,0.24470677971839905
DVA,DVB,16,1,SBTG:0928_03,0.4714467525482178
DVA,DVB,16,2,SBTG:0928_03,0.45965614914894104
DVA,DVB,16,4,SBTG:0928_03,0.4320841431617737
DVA,DVB,16,8,SBTG:0928_03,0.3818778991699219
DVA,DVB,16,16,SBTG:0928_03,0.30624860525131226
DVA,DVB,16,32,SBTG:0928_03,0.15488165616989136
DVA,DVB,16,1,SBTG:0928_05,0.5680795907974243
DVA,DVB,16,2,SBTG:0928_05,0.5611544847488403
DVA,DVB,16,4,SBTG:0928_05,0.540822446346283
DVA,DVB,16,8,SBTG:0928_05,0.5016571283340454
DVA,DVB,16,16,SBTG:0928_05,0.42447754740715027
DVA,DVB,16,32,SBTG:0928_05,0.2881833612918854
DVA,DVB,16,1,SBTG:0928_07,0.4977843761444092
DVA,DVB,16,2,SBTG:0928_07,0.4868565797805786
DVA,DVB,16,4,SBTG:0928_07,0.4568639397621155
DVA,DVB,16,8,SBTG:0928_07,0.39779120683670044
DVA,DVB,16,16,SBTG:0928_07,0.29399389028549194
DVA,DVB,16,32,SBTG:0928_07,0.14060647785663605
DVA,DVB,16,1,SBTG:0928_08,0.581882655620575
DVA,DVB,16,2,SBTG:0928_08,0.5729974508285522
DVA,DVB,16,4,SBTG:0928_08,0.5480334162712097
DVA,DVB,16,8,SBTG:0928_08,0.5001258254051208
DVA,DVB,16,16,SBTG:0928_08,0.4097803235054016
DVA,DVB,16,32,SBTG:0928_08,0.2686358392238617
DVA,DVB,16,1,SBTG:0928_11,0.549907386302948
DVA,DVB,16,2,SBTG:0928_11,0.5399098992347717
DVA,DVB,16,4,SBTG:0928_11,0.5220794677734375
DVA,DVB,16,8,SBTG:0928_11,0.48197507858276367
DVA,DVB,16,16,SBTG:0928_11,0.40950894355773926
DVA,DVB,16,32,SBTG:0928_11,0.28983524441719055
DVA,DVB,16,1,SBTG:0928_13,0.6153092980384827
DVA,DVB,16,2,SBTG:0928_13,0.6030794978141785
DVA,DVB,16,4,SBTG:0928_13,0.5809585452079773
DVA,DVB,16,8,SBTG:0928_13,0.5290747880935669
DVA,DVB,16,16,SBTG:0928_13,0.44667524099349976
DVA,DVB,16,32,SBTG:0928_13,0.33667537569999695
DVA,DVB,16,1,SBTG:0929_02,0.4907395839691162
DVA,DVB,16,2,SBTG:0929_02,0.47903281450271606
DVA,DVB,16,4,SBTG:0929_02,0.4520532488822937
DVA,DVB,16,8,SBTG:0929_02,0.4096640348434448
DVA,DVB,16,16,SBTG:0929_02,0.32601603865623474
DVA,DVB,16,32,SBTG:0929_02,0.21057936549186707
DVA,DVB,16,1,SBTG:0929_03,0.5891869068145752
DVA,DVB,16,2,SBTG:0929_03,0.5751509666442871
DVA,DVB,16,4,SBTG:0929_03,0.5456388592720032
DVA,DVB,16,8,SBTG:0929_03,0.47459280490875244
DVA,DVB,16,16,SBTG:0929_03,0.36784735321998596
DVA,DVB,16,32,SBTG:0929_03,0.23128803074359894
DVA,DVB,16,1,SBTG:0929_05,0.5323776006698608
DVA,DVB,16,2,SBTG:0929_05,0.5196108818054199
DVA,DVB,16,4,SBTG:0929_05,0.49530482292175293
DVA,DVB,16,8,SBTG:0929_05,0.44801631569862366
DVA,DVB,16,16,SBTG:0929_05,0.3489398956298828
DVA,DVB,16,32,SBTG:0929_05,0.20575818419456482
DVA,DVB,16,1,SBTG:0929_06,0.491754949092865
