channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,onset_minus_baseline,effect,AIM,LUA,1.0,0.0114324484020471,0,24
endpoint_mean,onset_minus_baseline,effect,AIM,PHA,1.0,0.0114259095862507,0,24
endpoint_log_sd,baseline,lag_minus_1,AIM,PVT,1.0,0.0114162256941199,0,18
endpoint_mean,onset_minus_baseline,effect,RMG,PVW,1.0,0.0114139895886182,0,24
endpoint_mean,baseline,lag_minus_1,AVF,PHA,1.0,0.0114119071513414,0,18
endpoint_log_sd,baseline,effect,AVD,IL1,1.0,0.0114074917510151,0,24
endpoint_log_sd,baseline,effect,AIM,RIA,1.0,0.0114072170108556,0,24
endpoint_log_sd,baseline,lag_minus_1,AVF,DVB,1.0,0.0114072021096944,0,18
endpoint_mean,baseline,lag_minus_1,URA,RIM,1.0,0.0113992188125848,0,18
endpoint_mean,onset_minus_baseline,effect,RMG,URB,1.0,0.0113968802616,0,24
endpoint_log_sd,baseline,lag_minus_1,RMG,LUA,1.0,0.0113946311175823,0,18
endpoint_log_sd,baseline,effect,RIP,RMH,1.0,0.0113904932513833,0,24
endpoint_mean,onset_minus_baseline,effect,ADE,PQR,1.0,0.011386414989829,0,24
endpoint_mean,onset_minus_baseline,effect,AVK,AIB,1.0,0.0113836880773305,0,24
endpoint_mean,onset_minus_baseline,effect,ADE,AVE,1.0,0.0113808047026395,0,24
endpoint_log_sd,baseline,lag_minus_1,RMG,PLN,1.0,0.0113790389150381,0,18
endpoint_mean,onset_minus_baseline,effect,AVF,SIA,1.0,0.0113735375925898,0,24
endpoint_log_sd,baseline,effect,PQR,URB,1.0,0.011372098699212,0,24
endpoint_mean,onset_minus_baseline,effect,ASG,AIY,1.0,0.0113717643544077,0,24
endpoint_log_sd,baseline,effect,PVW,AFD,1.0,0.0113679524511098,0,24
endpoint_log_sd,baseline,lag_minus_1,RIP,AIN,1.0,0.0113675761967897,0,18
endpoint_mean,baseline,lag_minus_1,IL1,AVB,1.0,0.01136667560786,0,18
endpoint_log_sd,baseline,effect,URX,ADE,1.0,0.0113662835210561,0,24
endpoint_mean,onset_minus_baseline,effect,AIY,PHC,1.0,0.0113632278516888,0,24
endpoint_log_sd,onset_minus_baseline,effect,ALN,IL1,1.0,0.0113626765087246,0,24
endpoint_log_sd,baseline,effect,AIZ,ALN,1.0,0.0113616306334733,0,24
endpoint_mean,baseline,lag_minus_1,AVK,AWC,1.0,0.0113574983552098,0,18
endpoint_mean,onset_minus_baseline,effect,AVK,SAA,1.0,0.0113565232604742,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,PVR,AWC,1.0,0.0113541148602962,0,18
endpoint_log_sd,baseline,effect,PVC,AVF,1.0,0.0113485008478164,0,24
endpoint_mean,onset_minus_baseline,effect,ADE,ASE,1.0,0.0113479681313037,0,24
endpoint_mean,baseline,lag_minus_1,RMG,SMD,1.0,0.0113350292667746,0,18
endpoint_mean,onset_minus_baseline,effect,ALN,PHB,1.0,0.0113270990550518,0,24
endpoint_mean,onset_minus_baseline,effect,PHC,AVH,1.0,0.011305334046483,0,24
endpoint_mean,baseline,lag_minus_1,PVR,DVB,1.0,0.0112972361966967,0,18
endpoint_mean,onset_minus_baseline,effect,RIC,AVD,1.0,0.0112714795395731,0,24
endpoint_mean,onset_minus_baseline,effect,URA,ADA,1.0,0.011270266957581,0,24
endpoint_mean,onset_minus_baseline,effect,RMG,PHC,1.0,0.011264975182712,0,24
endpoint_mean,onset_minus_baseline,effect,PVW,PVT,1.0,0.0112645160406827,0,24
endpoint_mean,baseline,lag_minus_1,AIM,URB,1.0,0.0112626627087593,0,18
endpoint_mean,baseline,lag_minus_1,FLP,RIB,1.0,0.0112621458247303,0,18
endpoint_mean,onset_minus_baseline,effect,RIP,RMG,1.0,0.011255020275712,0,24
endpoint_mean,baseline,lag_minus_1,URX,AUA,1.0,0.0112547893077135,0,18
endpoint_log_sd,baseline,effect,PHC,PVR,1.0,0.0112529154866933,0,24
endpoint_log_sd,baseline,effect,PHC,SAB,1.0,0.0112503375858068,0,24
endpoint_log_sd,baseline,effect,PQR,AVF,1.0,0.0112382881343364,0,24
endpoint_mean,onset_minus_baseline,effect,PHA,URX,1.0,0.0112308282405138,0,24
endpoint_log_sd,baseline,lag_minus_1,CEP,AVF,1.0,0.0112276710569858,0,18
endpoint_mean,baseline,lag_minus_1,PHC,AIN,1.0,0.0112249301746487,0,18
endpoint_log_sd,baseline,effect,PVR,RID,1.0,0.0112007670104503,0,24
endpoint_mean,baseline,lag_minus_1,URB,DVA,1.0,0.0111921597272157,0,18
endpoint_log_sd,baseline,lag_minus_1,PVQ,ADL,1.0,0.011184936389327,0,18
endpoint_mean,onset_minus_baseline,effect,ASG,URB,1.0,0.0111825615167617,0,24
endpoint_mean,onset_minus_baseline,effect,SMB,RIM,1.0,0.0111787598580122,0,24
endpoint_mean,onset_minus_baseline,effect,ALA,ASH,1.0,0.0111596519127488,0,24
endpoint_mean,onset_minus_baseline,effect,RIP,SIA,1.0,0.0111584812402725,0,24
endpoint_log_sd,baseline,effect,PHC,FLP,1.0,0.0111556556075811,0,24
endpoint_log_sd,baseline,effect,PVW,AVB,1.0,0.0111511405557394,0,24
endpoint_mean,onset_minus_baseline,effect,RIS,PVC,1.0,0.0111434822902083,0,24
endpoint_mean,onset_minus_baseline,effect,ASG,RIP,1.0,0.0111423376947641,0,24
endpoint_mean,onset_minus_baseline,effect,PVW,OLQ,1.0,0.0111202085390686,0,24
endpoint_mean,baseline,lag_minus_1,FLP,PLN,1.0,0.0111180581152439,0,18
endpoint_log_sd,baseline,lag_minus_1,PVW,DVB,1.0,0.0111172376200556,0,18
endpoint_log_sd,baseline,lag_minus_1,SAA,ASG,1.0,0.0111164133995771,0,18
endpoint_mean,baseline,lag_minus_1,URB,AIY,1.0,0.0111133297905325,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,PQR,URB,1.0,0.0111099015921354,0,18
endpoint_mean,baseline,lag_minus_1,SMB,PVT,1.0,0.0110981687903404,0,18
endpoint_mean,baseline,lag_minus_1,RIC,AWA,1.0,0.0110937627032399,0,18
endpoint_mean,baseline,lag_minus_1,RIH,PHC,1.0,0.01108527649194,0,18
endpoint_log_sd,baseline,lag_minus_1,PVW,FLP,1.0,0.01108412258327,0,18
endpoint_log_sd,onset_minus_baseline,effect,RMG,RIC,1.0,0.0110781341791152,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,PVN,AQR,1.0,0.0110748801380395,0,18
endpoint_log_sd,baseline,effect,ADA,ASG,1.0,0.0110693993046879,0,24
endpoint_mean,onset_minus_baseline,effect,AIN,PVT,1.0,0.0110630746930837,0,24
endpoint_mean,onset_minus_baseline,effect,ASJ,PHB,1.0,0.0110613275319337,0,24
endpoint_mean,baseline,effect,ASJ,PVP,1.0,0.0110570713877677,0,24
endpoint_log_sd,baseline,lag_minus_1,PVW,PVC,1.0,0.0110554033890366,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,AIM,RIP,1.0,0.0110528478398919,0,18
