cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
historical80,endpoint_mean,state_average,8,1,generator_1_vs_2,strong,4503,0.7554078035799284,0.02924718,0.7817010881634466
historical80,endpoint_mean,state_average,8,1,independent_MC,all,6320,0.9411524382329973,0.015302721,0.892879746835443
historical80,endpoint_mean,state_average,8,1,independent_MC,strong,4503,0.9486674448741688,0.012961722,0.8945147679324894
historical80,endpoint_mean,state_average,8,1,direct_N4096,all,6320,0.8710749968396232,0.023589784,0.854746835443038
historical80,endpoint_mean,state_average,8,1,direct_N4096,strong,4503,0.8770520909112488,0.021594176,0.8520986009327115
historical80,endpoint_mean,state_average,8,2,generator_0_vs_1,all,6320,0.7348187061618064,0.0345378,0.7816455696202531
historical80,endpoint_mean,state_average,8,2,generator_0_vs_1,strong,4503,0.7477724325798757,0.030434165,0.78369975571841
historical80,endpoint_mean,state_average,8,2,generator_0_vs_2,all,6320,0.7410064741779743,0.033260364,0.7778481012658228
historical80,endpoint_mean,state_average,8,2,generator_0_vs_2,strong,4503,0.7412543474417558,0.02992926,0.7810348656451255
historical80,endpoint_mean,state_average,8,2,generator_1_vs_2,all,6320,0.7525698448031746,0.032921832,0.7825949367088607
historical80,endpoint_mean,state_average,8,2,generator_1_vs_2,strong,4503,0.7590168196371669,0.029453203,0.7863646457916944
historical80,endpoint_mean,state_average,8,2,independent_MC,all,6320,0.9441077256375493,0.015129624,0.8944620253164557
historical80,endpoint_mean,state_average,8,2,independent_MC,strong,4503,0.9511444068820047,0.012828613,0.8965134354874528
historical80,endpoint_mean,state_average,8,2,direct_N4096,all,6320,0.8722742937860201,0.023874745,0.8490506329113924
historical80,endpoint_mean,state_average,8,2,direct_N4096,strong,4503,0.8777896238200916,0.02180548,0.8496557850322007
historical80,endpoint_mean,state_average,8,4,generator_0_vs_1,all,6320,0.7416164282628722,0.03514139,0.7878164556962025
historical80,endpoint_mean,state_average,8,4,generator_0_vs_1,strong,4503,0.7534097898356676,0.030891722,0.787475016655563
historical80,endpoint_mean,state_average,8,4,generator_0_vs_2,all,6320,0.7501516893710216,0.033686426,0.7846518987341772
historical80,endpoint_mean,state_average,8,4,generator_0_vs_2,strong,4503,0.7500915555039257,0.030232692,0.7872529424827892
historical80,endpoint_mean,state_average,8,4,generator_1_vs_2,all,6320,0.7583714638355643,0.033456706,0.789873417721519
historical80,endpoint_mean,state_average,8,4,generator_1_vs_2,strong,4503,0.7641500292266714,0.029891944,0.7919165001110371
historical80,endpoint_mean,state_average,8,4,independent_MC,all,6320,0.9486364802191283,0.014873204,0.9039556962025317
historical80,endpoint_mean,state_average,8,4,independent_MC,strong,4503,0.9550029925743005,0.012634878,0.905396402398401
historical80,endpoint_mean,state_average,8,4,direct_N4096,all,6320,0.8728451925321521,0.024681699,0.85
historical80,endpoint_mean,state_average,8,4,direct_N4096,strong,4503,0.8789394129709759,0.02251938,0.8485454141683322
historical80,endpoint_mean,state_average,8,8,generator_0_vs_1,all,6320,0.7476912211551745,0.036554616,0.7897151898734177
historical80,endpoint_mean,state_average,8,8,generator_0_vs_1,strong,4503,0.7573123082809354,0.031891875,0.7888074616922052
historical80,endpoint_mean,state_average,8,8,generator_0_vs_2,all,6320,0.7588065407686173,0.034806717,0.7900316455696202
historical80,endpoint_mean,state_average,8,8,generator_0_vs_2,strong,4503,0.7577537792083515,0.030982316,0.7910282034199423
historical80,endpoint_mean,state_average,8,8,generator_1_vs_2,all,6320,0.7624820474984239,0.03471739,0.7990506329113924
historical80,endpoint_mean,state_average,8,8,generator_1_vs_2,strong,4503,0.7666215598309947,0.030843118,0.8045747279591383
historical80,endpoint_mean,state_average,8,8,independent_MC,all,6320,0.9552456403405734,0.014526074,0.9087025316455696
historical80,endpoint_mean,state_average,8,8,independent_MC,strong,4503,0.9604895255488887,0.012381445,0.9105041083721963
historical80,endpoint_mean,state_average,8,8,direct_N4096,all,6320,0.8732430623947225,0.026043808,0.8522151898734177
historical80,endpoint_mean,state_average,8,8,direct_N4096,strong,4503,0.8766906486632062,0.024054265,0.8514323784143905
historical80,endpoint_mean,state_average,8,16,generator_0_vs_1,all,6320,0.7437972544102696,0.03970902,0.7884493670886076
historical80,endpoint_mean,state_average,8,16,generator_0_vs_1,strong,4503,0.7507288201398088,0.033909004,0.7954696868754164
historical80,endpoint_mean,state_average,8,16,generator_0_vs_2,all,6320,0.7554212015708555,0.03749971,0.7889240506329114
historical80,endpoint_mean,state_average,8,16,generator_0_vs_2,strong,4503,0.7545453569139817,0.032665547,0.7901399067288475
historical80,endpoint_mean,state_average,8,16,generator_1_vs_2,all,6320,0.7538040673666668,0.0375021,0.7938291139240506
historical80,endpoint_mean,state_average,8,16,generator_1_vs_2,strong,4503,0.7550109401126389,0.03275174,0.7996890961581168
historical80,endpoint_mean,state_average,8,16,independent_MC,all,6320,0.9629763403684632,0.01413236,0.9254746835443038
historical80,endpoint_mean,state_average,8,16,independent_MC,strong,4503,0.9658828214465852,0.012127703,0.928936264712414
historical80,endpoint_mean,state_average,8,16,direct_N4096,all,6320,0.8663873666036694,0.028655276,0.8563291139240506
historical80,endpoint_mean,state_average,8,16,direct_N4096,strong,4503,0.8642619442882163,0.026691759,0.8534310459693538
historical80,endpoint_mean,state_average,8,32,generator_0_vs_1,all,6320,0.7065439869625775,0.045127664,0.7814873417721518
historical80,endpoint_mean,state_average,8,32,generator_0_vs_1,strong,4503,0.7068391117789694,0.03706669,0.7868087941372418
historical80,endpoint_mean,state_average,8,32,generator_0_vs_2,all,6320,0.7170073502744169,0.04276206,0.7768987341772152
historical80,endpoint_mean,state_average,8,32,generator_0_vs_2,strong,4503,0.7187594068604131,0.035386726,0.782145236508994
historical80,endpoint_mean,state_average,8,32,generator_1_vs_2,all,6320,0.7131691924473668,0.04256229,0.7764240506329114
historical80,endpoint_mean,state_average,8,32,generator_1_vs_2,strong,4503,0.7066101845543455,0.03586102,0.7790361980901621
historical80,endpoint_mean,state_average,8,32,independent_MC,all,6320,0.9673632307209,0.013922211,0.9257911392405064
historical80,endpoint_mean,state_average,8,32,independent_MC,strong,4503,0.9678406508609033,0.011915882,0.927381745502998
historical80,endpoint_mean,state_average,8,32,direct_N4096,all,6320,0.8224437023978752,0.034341373,0.8270569620253164
historical80,endpoint_mean,state_average,8,32,direct_N4096,strong,4503,0.809676335262157,0.031694766,0.8225627359538086
historical80,endpoint_mean,state_average,16,1,generator_0_vs_1,all,6320,0.7497714396103999,0.03680181,0.7863924050632911
historical80,endpoint_mean,state_average,16,1,generator_0_vs_1,strong,4503,0.7543170157332036,0.032163672,0.7876970908283366
historical80,endpoint_mean,state_average,16,1,generator_0_vs_2,all,6320,0.7450313613107358,0.0361347,0.7854430379746835
historical80,endpoint_mean,state_average,16,1,generator_0_vs_2,strong,4503,0.7494240692102514,0.031912018,0.7861425716189208
historical80,endpoint_mean,state_average,16,1,generator_1_vs_2,all,6320,0.7604259277421668,0.03534156,0.7949367088607595
historical80,endpoint_mean,state_average,16,1,generator_1_vs_2,strong,4503,0.7634185744254127,0.031167481,0.8030202087497224
historical80,endpoint_mean,state_average,16,1,independent_MC,all,6320,0.9561900759833813,0.014786638,0.9162974683544304
historical80,endpoint_mean,state_average,16,1,independent_MC,strong,4503,0.9616493885953954,0.012547377,0.9171663335554076
historical80,endpoint_mean,state_average,16,1,direct_N4096,all,6320,0.8635073732462232,0.027774641,0.8495253164556962
historical80,endpoint_mean,state_average,16,1,direct_N4096,strong,4503,0.8585708169133198,0.026044246,0.8438818565400844
historical80,endpoint_mean,state_average,16,2,generator_0_vs_1,all,6320,0.7499598209089041,0.03718725,0.7859177215189873
historical80,endpoint_mean,state_average,16,2,generator_0_vs_1,strong,4503,0.754390975357125,0.032389898,0.787475016655563
historical80,endpoint_mean,state_average,16,2,generator_0_vs_2,all,6320,0.7452812828495723,0.03649311,0.7848101265822784
historical80,endpoint_mean,state_average,16,2,generator_0_vs_2,strong,4503,0.7495260796673718,0.03213505,0.7852542749278258
historical80,endpoint_mean,state_average,16,2,generator_1_vs_2,all,6320,0.7603450622680752,0.03564907,0.7938291139240506
historical80,endpoint_mean,state_average,16,2,generator_1_vs_2,strong,4503,0.7627181159871023,0.03139814,0.8019098378858539
historical80,endpoint_mean,state_average,16,2,independent_MC,all,6320,0.9574196489805951,0.0147050815,0.9180379746835443
historical80,endpoint_mean,state_average,16,2,independent_MC,strong,4503,0.9626402629556985,0.012485877,0.9173884077281812
historical80,endpoint_mean,state_average,16,2,direct_N4096,all,6320,0.8612994123325413,0.028345082,0.8511075949367088
historical80,endpoint_mean,state_average,16,2,direct_N4096,strong,4503,0.8549147502637635,0.02663249,0.8489895625138796
historical80,endpoint_mean,state_average,16,4,generator_0_vs_1,all,6320,0.7489669235624576,0.03798325,0.785759493670886
historical80,endpoint_mean,state_average,16,4,generator_0_vs_1,strong,4503,0.7532375759989038,0.03285482,0.7870308683100156
historical80,endpoint_mean,state_average,16,4,generator_0_vs_2,all,6320,0.7445590414184288,0.037234135,0.783386075949367
historical80,endpoint_mean,state_average,16,4,generator_0_vs_2,strong,4503,0.7486108350275105,0.032603737,0.7819231623362203
historical80,endpoint_mean,state_average,16,4,generator_1_vs_2,all,6320,0.7590917069530266,0.036282323,0.7919303797468354
historical80,endpoint_mean,state_average,16,4,generator_1_vs_2,strong,4503,0.7601749455523761,0.03184964,0.8012436153675327
historical80,endpoint_mean,state_average,16,4,independent_MC,all,6320,0.9594020987464809,0.014576023,0.917879746835443
historical80,endpoint_mean,state_average,16,4,independent_MC,strong,4503,0.9641820544979643,0.012382652,0.91672218520986
historical80,endpoint_mean,state_average,16,4,direct_N4096,all,6320,0.8592419935276792,0.02908295,0.8484177215189873
historical80,endpoint_mean,state_average,16,4,direct_N4096,strong,4503,0.8528777020098602,0.0273476,0.8461025982678214
historical80,endpoint_mean,state_average,16,8,generator_0_vs_1,all,6320,0.743581336283402,0.039585873,0.785126582278481
historical80,endpoint_mean,state_average,16,8,generator_0_vs_1,strong,4503,0.7477467572803198,0.033807423,0.7870308683100156
historical80,endpoint_mean,state_average,16,8,generator_0_vs_2,all,6320,0.7402491854979036,0.038709324,0.7844936708860759
historical80,endpoint_mean,state_average,16,8,generator_0_vs_2,strong,4503,0.7435701286420221,0.03352643,0.7863646457916944
historical80,endpoint_mean,state_average,16,8,generator_1_vs_2,all,6320,0.752881280318222,0.03760568,0.7870253164556962
historical80,endpoint_mean,state_average,16,8,generator_1_vs_2,strong,4503,0.751758999314456,0.03276764,0.7928047968021319
historical80,endpoint_mean,state_average,16,8,independent_MC,all,6320,0.9622236627438668,0.014379614,0.9229430379746836
historical80,endpoint_mean,state_average,16,8,independent_MC,strong,4503,0.9660858536071241,0.012232203,0.9242727070841661
historical80,endpoint_mean,state_average,16,8,direct_N4096,all,6320,0.8537347376408879,0.030522125,0.8439873417721518
historical80,endpoint_mean,state_average,16,8,direct_N4096,strong,4503,0.8434371899888157,0.02870547,0.8387741505662891
historical80,endpoint_mean,state_average,16,16,generator_0_vs_1,all,6320,0.7247310286186985,0.042638082,0.7795886075949368
historical80,endpoint_mean,state_average,16,16,generator_0_vs_1,strong,4503,0.7291885251151159,0.03556073,0.782145236508994
historical80,endpoint_mean,state_average,16,16,generator_0_vs_2,all,6320,0.725828851741101,0.04149164,0.7811708860759494
historical80,endpoint_mean,state_average,16,16,generator_0_vs_2,strong,4503,0.727504158834439,0.035135284,0.7812569398178992
historical80,endpoint_mean,state_average,16,16,generator_1_vs_2,all,6320,0.7334896227706164,0.040255528,0.7806962025316456
historical80,endpoint_mean,state_average,16,16,generator_1_vs_2,strong,4503,0.7280536902428791,0.03452122,0.7845880524095048
historical80,endpoint_mean,state_average,16,16,independent_MC,all,6320,0.9648790218465196,0.01415569,0.9218354430379747
historical80,endpoint_mean,state_average,16,16,independent_MC,strong,4503,0.9669959803637102,0.012085213,0.9220519653564291
historical80,endpoint_mean,state_average,16,16,direct_N4096,all,6320,0.8389741743432958,0.033379592,0.8310126582278481
historical80,endpoint_mean,state_average,16,16,direct_N4096,strong,4503,0.8270998713458785,0.03099679,0.823006884299356
historical80,endpoint_mean,state_average,16,32,generator_0_vs_1,all,6320,0.6735309142662086,0.047431093,0.7653481012658228
historical80,endpoint_mean,state_average,16,32,generator_0_vs_1,strong,4503,0.6776705331535396,0.038077816,0.7712636020430824
historical80,endpoint_mean,state_average,16,32,generator_0_vs_2,all,6320,0.6838784406432596,0.04588122,0.7651898734177215
historical80,endpoint_mean,state_average,16,32,generator_0_vs_2,strong,4503,0.6802747489988777,0.037104744,0.7677104152787031
historical80,endpoint_mean,state_average,16,32,generator_1_vs_2,all,6320,0.6802249944153044,0.04481739,0.7647151898734177
historical80,endpoint_mean,state_average,16,32,generator_1_vs_2,strong,4503,0.6648062522276506,0.037214894,0.7646013768598712
historical80,endpoint_mean,state_average,16,32,independent_MC,all,6320,0.9646672327799853,0.014103205,0.9215189873417722
historical80,endpoint_mean,state_average,16,32,independent_MC,strong,4503,0.9648224794921998,0.011932674,0.9224961137019765
