law,delta,generator_id,model_name,method,metric_id,median,q25,q75,n
clean,0.12,g1_location,ratio_critic,history_tangent_finite_target,witness_nrmse,0.5097336149012757,0.4866251752442866,0.5418331855171103,8
clean,0.12,g2_covariance,affine_flow,central_model_log_ratio,channel_readout_nrmse,0.6941861433569549,0.6338592431332468,0.7905496584406022,8
clean,0.12,g2_covariance,affine_flow,central_model_log_ratio,witness_nrmse,0.8089604125131864,0.7098222360480958,0.8991455634979605,8
clean,0.12,g2_covariance,affine_flow,direct_coupled_samples,channel_readout_nrmse,0.6434839990731525,0.6210888602657021,0.6933558057776985,8
clean,0.12,g2_covariance,affine_flow,history_tangent_finite_target,channel_readout_nrmse,0.698289404977589,0.6454310876690543,0.7950078684137044,8
clean,0.12,g2_covariance,affine_flow,history_tangent_finite_target,witness_nrmse,0.8118931615884932,0.7137254477519313,0.9019151969353981,8
clean,0.12,g2_covariance,affine_flow,signed_classifier,channel_readout_nrmse,0.5661824985581587,0.4706215582526521,0.6116426149352885,8
clean,0.12,g2_covariance,affine_flow,signed_classifier,witness_nrmse,0.7031986220768591,0.6291537132974814,0.7878708539857836,8
clean,0.12,g2_covariance,affine_flow,signed_riesz_dictionary,channel_readout_nrmse,3.537510945553813,3.3560371536906413,3.994794976639675,8
clean,0.12,g2_covariance,affine_flow,signed_riesz_dictionary,witness_nrmse,3.7296284096515073,3.4557580200696885,4.048388126448214,8
clean,0.12,g2_covariance,autoregressive_mdn,central_model_log_ratio,channel_readout_nrmse,0.6511047158716075,0.5818749220432693,0.7247470252338218,8
clean,0.12,g2_covariance,autoregressive_mdn,central_model_log_ratio,witness_nrmse,0.9098321815725973,0.7870113198043038,1.0327466088240018,8
clean,0.12,g2_covariance,autoregressive_mdn,direct_coupled_samples,channel_readout_nrmse,1.0787253494493114,0.882338282054081,1.1764922464353744,8
clean,0.12,g2_covariance,autoregressive_mdn,history_tangent_finite_target,channel_readout_nrmse,0.6550533132299342,0.5859691079343408,0.7292747332268006,8
clean,0.12,g2_covariance,autoregressive_mdn,history_tangent_finite_target,witness_nrmse,0.9163006871108519,0.7914765693994316,1.0369288488737824,8
clean,0.12,g2_covariance,autoregressive_mdn,signed_classifier,channel_readout_nrmse,0.6138728163368554,0.5981765674955711,0.6932595935840965,8
clean,0.12,g2_covariance,autoregressive_mdn,signed_classifier,witness_nrmse,0.7599009303845221,0.6775188779066068,0.8402059359653185,8
clean,0.12,g2_covariance,autoregressive_mdn,signed_riesz_dictionary,channel_readout_nrmse,6.95477388103055,6.094273613254929,7.310886559457911,8
clean,0.12,g2_covariance,autoregressive_mdn,signed_riesz_dictionary,witness_nrmse,8.630235572582835,7.839742157786575,9.377596835441848,8
clean,0.12,g2_covariance,bounded_energy,direct_coupled_samples,channel_readout_nrmse,2.1182035459610966,1.9787812780139697,2.307200509044254,8
clean,0.12,g2_covariance,bounded_energy,history_tangent_finite_target,channel_readout_nrmse,0.6649945557324451,0.581720234993878,0.8453380674633548,8
clean,0.12,g2_covariance,bounded_energy,history_tangent_finite_target,witness_nrmse,0.7311439001061054,0.6286196985381993,0.8746194994606777,8
clean,0.12,g2_covariance,bounded_energy,signed_classifier,channel_readout_nrmse,0.6587895248894611,0.5566428399592204,0.6903669626667972,8
clean,0.12,g2_covariance,bounded_energy,signed_classifier,witness_nrmse,0.7322829536227935,0.655536839580862,0.8192743790266437,8
clean,0.12,g2_covariance,bounded_energy,signed_riesz_dictionary,channel_readout_nrmse,9.321836467108017,8.327419737608032,10.397260974141936,8
clean,0.12,g2_covariance,bounded_energy,signed_riesz_dictionary,witness_nrmse,11.425578848182063,10.892157720634295,12.58636678450223,8
clean,0.12,g2_covariance,diffusion_edm,direct_coupled_samples,channel_readout_nrmse,0.464417636274265,0.42258316876356306,0.484120528876591,8
clean,0.12,g2_covariance,diffusion_edm,signed_classifier,channel_readout_nrmse,0.534822133386009,0.5083855664945285,0.634054768102954,8
clean,0.12,g2_covariance,diffusion_edm,signed_classifier,witness_nrmse,0.7013017477971397,0.6369664064648496,0.8000795191644223,8
clean,0.12,g2_covariance,diffusion_edm,signed_riesz_dictionary,channel_readout_nrmse,3.0656321314751223,2.7452696515548856,3.509205663651012,8
clean,0.12,g2_covariance,diffusion_edm,signed_riesz_dictionary,witness_nrmse,2.988829735363132,2.7022033949990125,3.110475041589876,8
clean,0.12,g2_covariance,diffusion_gaussian_anchored,direct_coupled_samples,channel_readout_nrmse,0.48447874053333395,0.45575875301944085,0.5581657320230081,8
