cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
clean54,endpoint_mean,state_average,8,8,generator_1_vs_2,all,2862,0.7007724087047333,0.04953151,0.7697414395527603
clean54,endpoint_mean,state_average,8,8,generator_1_vs_2,strong,1749,0.6520901201471124,0.045345064,0.7507146941109205
clean54,endpoint_mean,state_average,8,8,independent_MC,all,2862,0.9557921609894444,0.018644892,0.9234800838574424
clean54,endpoint_mean,state_average,8,8,independent_MC,strong,1749,0.9475479884736824,0.016672613,0.9216695254431103
clean54,endpoint_mean,state_average,8,8,direct_N4096,all,2862,0.8880605445384963,0.030847305,0.8763102725366876
clean54,endpoint_mean,state_average,8,8,direct_N4096,strong,1749,0.8642955101976733,0.02977255,0.8713550600343053
clean54,endpoint_mean,state_average,8,16,generator_0_vs_1,all,2862,0.694882773432986,0.055782374,0.7645003494060097
clean54,endpoint_mean,state_average,8,16,generator_0_vs_1,strong,1749,0.6449183260934049,0.04798545,0.7575757575757576
clean54,endpoint_mean,state_average,8,16,generator_0_vs_2,all,2862,0.7146204906646056,0.056077715,0.7868623340321453
clean54,endpoint_mean,state_average,8,16,generator_0_vs_2,strong,1749,0.6876530935063814,0.04672263,0.7815894797026872
clean54,endpoint_mean,state_average,8,16,generator_1_vs_2,all,2862,0.7003490572795896,0.05482104,0.7686932215234102
clean54,endpoint_mean,state_average,8,16,generator_1_vs_2,strong,1749,0.6422206048344815,0.048263878,0.747284162378502
clean54,endpoint_mean,state_average,8,16,independent_MC,all,2862,0.9625052446874185,0.018520841,0.9203354297693921
clean54,endpoint_mean,state_average,8,16,independent_MC,strong,1749,0.9521346172501131,0.016830975,0.9182389937106918
clean54,endpoint_mean,state_average,8,16,direct_N4096,all,2862,0.8774058433845671,0.035331342,0.8623340321453529
clean54,endpoint_mean,state_average,8,16,direct_N4096,strong,1749,0.8435577271914216,0.034323093,0.851915380217267
clean54,endpoint_mean,state_average,8,32,generator_0_vs_1,all,2862,0.637551331505546,0.06649188,0.750524109014675
