sampling_seed,spec_id,worker_sha256,checkpoint_sha256,cohort,fold,generator_seed,worm,phase,event,cut,lag,method,particles,mc_seed,contrast_fraction,steps_factor,sources,panel,file,wall_seconds,transition_samples,calls,velocity_network_sample_evaluations
195831,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,direct,16384,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_direct_N16384_mc91102_a1.0_steps1.npz,32.713152374955826,655360,40,31457280
195832,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,direct,16384,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_direct_N16384_mc91103_a1.0_steps1.npz,32.52182462497149,655360,40,31457280
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,direct,4096,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_direct_N4096_mc91101_a1.0_steps1.npz,7.948377874970902,163840,40,7864320
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,direct,4096,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_direct_N4096_mc91102_a1.0_steps1.npz,7.93597225000849,163840,40,7864320
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,direct,4096,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_direct_N4096_mc91103_a1.0_steps1.npz,7.918051875021774,163840,40,7864320
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,progressive,128,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_progressive_N128_mc91101_a1.0_steps1.npz,10.031468208995648,196608,192,9437184
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,progressive,128,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_progressive_N128_mc91102_a1.0_steps1.npz,10.01498320902465,196608,192,9437184
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,progressive,128,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_progressive_N128_mc91103_a1.0_steps1.npz,10.055232250015251,196608,192,9437184
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,progressive,512,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_progressive_N512_mc91101_a1.0_steps1.npz,39.670265749969985,786432,768,37748736
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,progressive,512,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_progressive_N512_mc91102_a1.0_steps1.npz,39.614909833006095,786432,768,37748736
