fold,phase,lag,source,target,horizon,contrast_fraction,steps_factor,effect_mean,effect_sd,gap_mean,valid_fraction
0,baseline,1,ADE,ASI,8,1.0,2,-0.022209428250789632,0.13992780903162638,0.5426829755306244,1.0
0,baseline,1,ADE,ASI,16,1.0,1,-0.0238084631661574,0.08325573031102616,0.5481003721555074,1.0
0,baseline,1,ADE,ASI,16,1.0,2,-0.047775983810424826,0.12872833673844805,0.5426829755306244,1.0
0,baseline,1,ADE,ASI,32,1.0,1,-0.0197413365046183,0.11853637158024546,0.5481003721555074,1.0
0,baseline,1,ADE,ASI,32,1.0,2,-0.07865734879548347,0.09624035129699451,0.5426829755306244,1.0
0,baseline,1,ADE,ASJ,1,1.0,1,0.0057684943700830014,0.04543679136643012,0.5481003721555074,1.0
0,baseline,1,ADE,ASJ,1,1.0,2,0.10565658907095588,0.04770197591684067,0.5426829755306244,1.0
0,baseline,1,ADE,ASJ,2,1.0,1,0.0085443578039606,0.044885646974401644,0.5481003721555074,1.0
0,baseline,1,ADE,ASJ,2,1.0,2,0.1057044714689254,0.04565736998443647,0.5426829755306244,1.0
0,baseline,1,ADE,ASJ,4,1.0,1,0.008710450803240101,0.039904268024445015,0.5481003721555074,1.0
0,baseline,1,ADE,ASJ,4,1.0,2,0.10160934055844939,0.03901240636136548,0.5426829755306244,1.0
0,baseline,1,ADE,ASJ,8,1.0,1,0.03103537391871213,0.039023187771073393,0.5481003721555074,1.0
0,baseline,1,ADE,ASJ,8,1.0,2,0.11224072674910224,0.03831658978035369,0.5426829755306244,1.0
0,baseline,1,ADE,ASJ,16,1.0,1,0.05837436082462463,0.035415518853460864,0.5481003721555074,1.0
0,baseline,1,ADE,ASJ,16,1.0,2,0.1154795239369074,0.047813796031334066,0.5426829755306244,1.0
0,baseline,1,ADE,ASJ,32,1.0,1,0.10324447850386297,0.033612600998119926,0.5481003721555074,1.0
0,baseline,1,ADE,ASJ,32,1.0,2,0.12596717104315755,0.09221412872040435,0.5426829755306244,1.0
0,baseline,1,ADE,ASK,1,1.0,1,0.006323219587405532,0.13741703279877907,0.5481003721555074,1.0
0,baseline,1,ADE,ASK,1,1.0,2,-0.026149405787388464,0.19130095733512076,0.5426829755306244,1.0
0,baseline,1,ADE,ASK,2,1.0,1,0.0047873395184675595,0.131143918051022,0.5481003721555074,1.0
0,baseline,1,ADE,ASK,2,1.0,2,-0.024879370505611103,0.18432855307962429,0.5426829755306244,1.0
0,baseline,1,ADE,ASK,4,1.0,1,0.0028837149341901006,0.11616368059862874,0.5481003721555074,1.0
0,baseline,1,ADE,ASK,4,1.0,2,-0.02339307762061557,0.16917842513268022,0.5426829755306244,1.0
