rho,horizon,n_train,frequency_band,method,nrmse,coverage,rho_abs_error,max_inverse_attenuation,seeds
0.9,64,32000,wide,CF_DECONV_KNOWN_PLUG,0.06954622925902021,0.22916666666666666,0.0,1.0996590003450963,10
0.9,64,32000,wide,CF_DECONV_KNOWN_RIESZ,0.07056739881627982,1.0,0.0,1.0996590003450963,10
0.9,64,32000,wide,LATENT_ORACLE_ORTH,0.061760307295131336,0.95,0.01225390717269714,1.0,10
0.9,64,32000,wide,LATENT_ORACLE_PLUG,0.06105482609452708,0.275,0.01225390717269714,1.0,10
0.9,64,32000,wide,LATENT_ORACLE_RIESZ,0.06276032491251468,1.0,0.01225390717269714,1.0,10
0.9,64,32000,wide,POINT_ESTIMATED_ORTH,0.18888475066800722,0.5083333333333333,0.01225390717269714,1.095606980079721,10
0.9,64,32000,wide,POINT_ESTIMATED_PLUG,0.18763523847824437,0.09166666666666665,0.01225390717269714,1.095606980079721,10
0.9,64,32000,wide,POINT_ESTIMATED_RIESZ,0.18541059959680414,0.85,0.01225390717269714,1.095606980079721,10
0.9,64,32000,wide,POINT_KNOWN_ORTH,0.0894873397830213,0.9083333333333334,0.0,1.0996590003450963,10
0.9,64,32000,wide,POINT_KNOWN_PLUG,0.08912214951621726,0.15833333333333333,0.0,1.0996590003450963,10
0.9,64,32000,wide,POINT_KNOWN_RIESZ,0.08669817315848523,0.975,0.0,1.0996590003450963,10
0.9,64,32000,wide,ZERO,1.0,0.0,0.01225390717269714,1.0996590003450963,10
0.98,4,8000,low,CF_DECONV_ESTIMATED_ORTH,2528.312123178039,0.75625,0.0945317595076118,2018.4300004335066,10
0.98,4,8000,low,CF_DECONV_ESTIMATED_PLUG,2480.601061107057,0.0875,0.0945317595076118,2018.4300004335066,10
0.98,4,8000,low,CF_DECONV_ESTIMATED_RIESZ,2439.954722588166,0.95625,0.0945317595076118,2018.4300004335066,10
0.98,4,8000,low,CF_DECONV_KNOWN_ORTH,1.8402735643434727,0.9875,0.0,1.7001212494348337,10
0.98,4,8000,low,CF_DECONV_KNOWN_PLUG,1.7521606894389596,0.1875,0.0,1.7001212494348337,10
0.98,4,8000,low,CF_DECONV_KNOWN_RIESZ,1.7322425863817927,0.98125,0.0,1.7001212494348337,10
0.98,4,8000,low,LATENT_ORACLE_ORTH,0.3671505229900611,1.0,0.0945317595076118,1.0,10
0.98,4,8000,low,LATENT_ORACLE_PLUG,0.356915835480737,0.25,0.0945317595076118,1.0,10
0.98,4,8000,low,LATENT_ORACLE_RIESZ,0.3923443637410374,1.0,0.0945317595076118,1.0,10
0.98,4,8000,low,POINT_ESTIMATED_ORTH,1.7260347667033453,0.75,0.0945317595076118,2018.4300004335066,10
0.98,4,8000,low,POINT_ESTIMATED_PLUG,1.7129607846254644,0.0875,0.0945317595076118,2018.4300004335066,10
0.98,4,8000,low,POINT_ESTIMATED_RIESZ,1.7154798592468592,0.95,0.0945317595076118,2018.4300004335066,10
0.98,4,8000,low,POINT_KNOWN_ORTH,1.3284601776260287,0.98125,0.0,1.7001212494348337,10
0.98,4,8000,low,POINT_KNOWN_PLUG,1.2745536789499359,0.1875,0.0,1.7001212494348337,10
0.98,4,8000,low,POINT_KNOWN_RIESZ,1.2478852450645688,0.98125,0.0,1.7001212494348337,10
0.98,4,8000,low,ZERO,1.0,0.0,0.0945317595076118,1.7001212494348337,10
0.98,4,8000,wide,CF_DECONV_ESTIMATED_ORTH,4.5143332118431144e+20,0.65,0.0945317595076118,6.614487098817516e+21,10
0.98,4,8000,wide,CF_DECONV_ESTIMATED_PLUG,4.557597106237026e+20,0.06249999999999998,0.0945317595076118,6.614487098817516e+21,10
0.98,4,8000,wide,CF_DECONV_ESTIMATED_RIESZ,4.631067876145755e+20,0.7916666666666666,0.0945317595076118,6.614487098817516e+21,10
0.98,4,8000,wide,CF_DECONV_KNOWN_ORTH,1.6520195203023484,0.9875,0.0,27.57397307328573,10
0.98,4,8000,wide,CF_DECONV_KNOWN_PLUG,1.587904341894412,0.175,0.0,27.57397307328573,10
0.98,4,8000,wide,CF_DECONV_KNOWN_RIESZ,1.6381052096768518,0.9875,0.0,27.57397307328573,10
0.98,4,8000,wide,CF_DECONV_MIXTURE_MLE_ORTH,8.611585229766542,0.9916666666666666,0.00218781278475664,98.23130939389208,10
0.98,4,8000,wide,CF_DECONV_MIXTURE_MLE_PLUG,8.49055384306299,0.2,0.00218781278475664,98.23130939389208,10
0.98,4,8000,wide,CF_DECONV_MIXTURE_MLE_RIESZ,8.69933591042379,1.0,0.00218781278475664,98.23130939389208,10
0.98,4,8000,wide,LATENT_ORACLE_ORTH,0.09940168273443269,1.0,0.0945317595076118,1.0,10
0.98,4,8000,wide,LATENT_ORACLE_PLUG,0.09591886205142877,0.2875,0.0945317595076118,1.0,10
0.98,4,8000,wide,LATENT_ORACLE_RIESZ,0.1035204096487492,1.0,0.0945317595076118,1.0,10
0.98,4,8000,wide,POINT_ESTIMATED_ORTH,0.9637087760688241,0.41666666666666663,0.0945317595076118,6.614487098817516e+21,10
0.98,4,8000,wide,POINT_ESTIMATED_PLUG,0.9656612205267633,0.05416666666666663,0.0945317595076118,6.614487098817516e+21,10
0.98,4,8000,wide,POINT_ESTIMATED_RIESZ,0.9655728425604488,0.5583333333333333,0.0945317595076118,6.614487098817516e+21,10
0.98,4,8000,wide,POINT_KNOWN_ORTH,0.9778510682838297,0.5791666666666667,0.0,27.57397307328573,10
0.98,4,8000,wide,POINT_KNOWN_PLUG,0.9746508475175499,0.0708333333333333,0.0,27.57397307328573,10
0.98,4,8000,wide,POINT_KNOWN_RIESZ,0.9745720591742539,0.5875,0.0,27.57397307328573,10
0.98,4,8000,wide,POINT_MIXTURE_MLE_ORTH,0.9992582385669614,0.5833333333333333,0.00218781278475664,98.23130939389208,10
0.98,4,8000,wide,POINT_MIXTURE_MLE_PLUG,0.9949400920024027,0.06666666666666662,0.00218781278475664,98.23130939389208,10
0.98,4,8000,wide,POINT_MIXTURE_MLE_RIESZ,0.9962250977979581,0.5916666666666667,0.00218781278475664,98.23130939389208,10
