case_id,data_seed,energy_score_fair,generator_seed,minus_best_epoch,minus_fit_seconds,model_name,model_seed,plus_best_epoch,plus_fit_seconds,quartic_nrmse,quartic_slope,status,wall_seconds
g67_d607_m6001_flow_matching,607,0.7055137551755699,67,58,0.5881594170059543,flow_matching,6001,59,0.5960327079810668,0.9748104215726897,0.025291759525408183,ok,1.4259656250069384
g67_d607_m6001_gaussian_nll,607,0.7169418266376754,67,29,0.4256588330026716,gaussian_nll,6001,16,0.2564804579888005,1.00004124075198,-4.1072962863801375e-05,ok,0.7186481659882702
g67_d607_m6007_affine_flow,607,0.7076555479597619,67,34,2.4609682919981424,affine_flow,6007,32,2.3544623329944443,0.8184212062430782,0.18218358083881825,ok,4.903475625003921
g67_d607_m6007_autoregressive_mdn,607,0.7220818650991595,67,7,4.837569665978663,autoregressive_mdn,6007,8,5.095281916990643,0.7379649280594306,0.26738682121918944,ok,10.17394837498432
g67_d607_m6007_diffusion_edm,607,0.704041882019459,67,59,0.6396893750061281,diffusion_edm,6007,59,0.6410780410224106,0.6516375005354531,0.3496271858941087,ok,1.535914167005103
g67_d607_m6007_flow_matching,607,0.7031548750449454,67,59,0.5923552910098806,flow_matching,6007,57,0.5943376250215806,0.941875861484302,0.0582522286020454,ok,1.4264355410123244
g67_d607_m6007_gaussian_nll,607,0.71564896098308,67,31,0.3965572500019334,gaussian_nll,6007,22,0.31353558399132453,0.9996276492640631,0.00037268952466730564,ok,0.7462325000087731
g71_d601_m6001_affine_flow,601,0.7046461695278065,71,28,2.131526000011945,affine_flow,6001,30,2.2600922499841545,0.7395771949370987,0.2610844536304701,ok,4.480628499994054
g71_d601_m6001_autoregressive_mdn,601,0.7091975791111037,71,7,4.855819166987203,autoregressive_mdn,6001,7,4.796805292018689,0.8305455757228701,0.17090101373443642,ok,9.879059375001816
g71_d601_m6001_diffusion_edm,601,0.7019054941740857,71,59,0.6377089579764288,diffusion_edm,6001,56,0.643004874989856,0.6064441362736547,0.3941534884247051,ok,1.5361183749919292
g71_d601_m6001_flow_matching,601,0.6991953063627298,71,59,0.5872383330133744,flow_matching,6001,58,0.5926524999958929,0.9701055637086482,0.03010798690739562,ok,1.4206415840017144
g71_d601_m6001_gaussian_nll,601,0.7173428242067691,71,25,0.338506750005763,gaussian_nll,6001,21,0.30303924999316223,1.0001935620685278,-0.00019339446385255172,ok,0.6778388339735102
g71_d601_m6007_affine_flow,601,0.7042055390530527,71,28,2.126242041005753,affine_flow,6007,29,2.386089000006905,0.8276538370653704,0.17270806289125257,ok,4.601103833003435
g71_d601_m6007_autoregressive_mdn,601,0.7159030620928538,71,8,5.3553844160051085,autoregressive_mdn,6007,6,4.579653624998173,0.8165266964778202,0.18580679312193774,ok,10.24811437499011
g71_d601_m6007_diffusion_edm,601,0.7028739343939868,71,59,0.6369144580094144,diffusion_edm,6007,57,0.6384704999800306,0.679107134444925,0.321232876684406,ok,1.5291699999943376
g71_d601_m6007_flow_matching,601,0.7021615892634717,71,59,0.6064237919927109,flow_matching,6007,59,0.5869060410186648,0.9613156830765206,0.03871859759862061,ok,1.4341813329956494
g71_d601_m6007_gaussian_nll,601,0.7165809708198564,71,26,0.3462863330205437,gaussian_nll,6007,26,0.3479697910079267,0.9996755515623887,0.00032472764433168493,ok,0.7297155830019619
g71_d607_m6001_affine_flow,607,0.7041915094968155,71,41,2.842868041014299,affine_flow,6001,32,2.3554224580002483,0.7067991190917031,0.29470003195457833,ok,5.28627112499089
g71_d607_m6001_autoregressive_mdn,607,0.7142531525661763,71,7,4.838247667008545,autoregressive_mdn,6001,6,4.6798102500033565,0.8545422952692843,0.14629307051566431,ok,9.753567499981727
g71_d607_m6001_diffusion_edm,607,0.7003167097005624,71,59,0.6845617080107331,diffusion_edm,6001,54,0.6388159169873688,0.6375678672411531,0.36294262696079566,ok,1.6397976250154898
g71_d607_m6001_flow_matching,607,0.7002896347795504,71,58,0.5883450420224108,flow_matching,6001,59,0.5884001249796711,0.9728593138271352,0.027200494154158174,ok,1.4161794589890633
g71_d607_m6001_gaussian_nll,607,0.7181415637008395,71,12,0.21593016700353473,gaussian_nll,6001,22,0.3134046669874806,0.9999715107849951,2.8571629629609383e-05,ok,0.5651884590042755
g71_d607_m6007_affine_flow,607,0.7026319979822219,71,35,2.5530027500062715,affine_flow,6007,26,2.0857846250000875,0.8069234061266829,0.19337713542378052,ok,4.732273083005566
g71_d607_m6007_autoregressive_mdn,607,0.7112493170092434,71,6,4.612617708015023,autoregressive_mdn,6007,7,4.824899208993884,0.7598109608280809,0.24648861887465595,ok,9.718824542011134
g71_d607_m6007_diffusion_edm,607,0.6986352679136453,71,58,0.6433919580013026,diffusion_edm,6007,59,0.7173049580014776,0.6949028970121854,0.30597092007178833,ok,1.6187584169965703
g71_d607_m6007_flow_matching,607,0.7049323714728818,71,59,0.5958521249995101,flow_matching,6007,59,0.6086337500018999,0.9710830733801882,0.028993536585635787,ok,1.449452958011534
g71_d607_m6007_gaussian_nll,607,0.7179486192286048,71,18,0.2723744160030037,gaussian_nll,6007,25,0.34871170797850937,0.9996246086566308,0.00037567998089778863,ok,0.657563749991823
g73_d601_m6001_affine_flow,601,0.7054001549692724,73,33,2.5115039169904776,affine_flow,6001,32,2.411332666000817,0.7417597693858397,0.25901139537677903,ok,5.011274749995209
g73_d601_m6001_autoregressive_mdn,601,0.7148765926924385,73,6,4.564511500007939,autoregressive_mdn,6001,6,4.568314665986691,0.8255029196961934,0.17679452501756093,ok,9.363320665986976
g73_d601_m6001_diffusion_edm,601,0.7043656106847834,73,59,0.6532114169967826,diffusion_edm,6001,54,0.6395770420203917,0.6583587548047354,0.34329158264430437,ok,1.5488133749749977
g73_d601_m6001_flow_matching,601,0.7038827748817376,73,58,0.6105075840023346,flow_matching,6001,58,0.5882157910091337,0.956789994204205,0.043259851391180625,ok,1.4476724170090165
g73_d601_m6001_gaussian_nll,601,0.7235673964667307,73,22,0.3111001669894904,gaussian_nll,6001,25,0.34347545800847,0.9999061377275231,9.417800764928487e-05,ok,0.6911724589881487
g73_d601_m6007_affine_flow,601,0.7075079142994256,73,36,2.6114722919883206,affine_flow,6007,36,2.703475582995452,0.7898844750770941,0.2104732655030934,ok,5.405587209010264
g73_d601_m6007_autoregressive_mdn,601,0.7139386090540455,73,6,4.527486792008858,autoregressive_mdn,6007,7,4.863649750011973,0.8207951237515902,0.18197769810181555,ok,9.621130791987525
g73_d601_m6007_diffusion_edm,601,0.7123575557779368,73,54,0.6426818750042003,diffusion_edm,6007,58,0.65755795800942,0.6456188876125121,0.35584837047950024,ok,1.55762045798474
g73_d601_m6007_flow_matching,601,0.7022938847049724,73,59,0.593268166994676,flow_matching,6007,58,0.5888408329919912,0.9573344613011832,0.04273976463140723,ok,1.4536324170185253
g73_d601_m6007_gaussian_nll,601,0.7234027217074986,73,25,0.3386871670081746,gaussian_nll,6007,26,0.36970899999141693,1.000136113211103,-0.00013536050102072098,ok,0.7445746660232544
g73_d607_m6001_affine_flow,607,0.69730863511582,73,28,2.146667291992344,affine_flow,6001,29,2.179521667014342,0.7309609966954812,0.27050346404909353,ok,4.414964291994693
g73_d607_m6001_autoregressive_mdn,607,0.7254653016728329,73,6,4.6104952080058865,autoregressive_mdn,6001,6,4.540237208013423,0.8042107728219452,0.19733651991313492,ok,9.37788095799624
g73_d607_m6001_diffusion_edm,607,0.7094909281341527,73,58,0.664518333011074,diffusion_edm,6001,58,0.7073642920004204,0.6432576426759172,0.3581931739505435,ok,1.6545333749963902
g73_d607_m6001_flow_matching,607,0.7024622810341924,73,58,0.5900684999942314,flow_matching,6001,59,0.6082908750104252,0.9575997358958971,0.042464462399277286,ok,1.4648851670208387
g73_d607_m6001_gaussian_nll,607,0.7185516264675044,73,24,0.32904612499987707,gaussian_nll,6001,19,0.2860729999956675,1.0000511126867375,-5.096691869322425e-05,ok,0.6506192910019308
g73_d607_m6007_affine_flow,607,0.7068381346119726,73,42,2.999791040987475,affine_flow,6007,29,2.192385208007181,0.773511984972249,0.22741834231108116,ok,5.292295417020796
g73_d607_m6007_autoregressive_mdn,607,0.7184895003887742,73,6,4.539676666987361,autoregressive_mdn,6007,5,4.263312625000253,0.8769173617026723,0.1244818505224194,ok,9.030142666975735
g73_d607_m6007_diffusion_edm,607,0.7077784347458126,73,59,0.6521022499946412,diffusion_edm,6007,59,0.6972248329839204,0.6713580509714762,0.3293532037780789,ok,1.6068324589869007
g73_d607_m6007_flow_matching,607,0.7016261516908502,73,59,0.5872696249862202,flow_matching,6007,59,0.5903243750217371,0.9558823740649443,0.04414796389145038,ok,1.4166737500054296
g73_d607_m6007_gaussian_nll,607,0.715770960266048,73,16,0.2539086249889806,gaussian_nll,6007,23,0.322589292016346,0.9993108278735789,0.0006895341995209975,ok,0.6125366250053048
